Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;Matches
1;Zakaria Aboukhlal;ma MAR;MF;Torino;26-094;2000;15;6;511;5.7;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
2;Francesco Acerbi;it ITA;DF;Inter;38-102;1988;18;15;1,378;15.3;0;1;1;0;0;0;3;0;0.00;0.07;0.07;0.00;0.07;Matches
3;Che Adams;sct SCO;FW;Torino;29-314;1996;32;19;1,858;20.6;5;2;7;5;0;0;0;0;0.24;0.10;0.34;0.24;0.34;Matches
4;Jayden Addai;nl NED;MF;Como;20-270;2005;12;7;686;7.6;3;0;3;3;0;0;4;0;0.39;0.00;0.39;0.39;0.39;Matches
5;Vasilije Adžić;me MNE;MF;Juventus;20-011;2006;10;1;171;1.9;1;0;1;1;0;0;0;0;0.53;0.00;0.53;0.53;0.53;Matches
6;Michel Aebischer;ch SUI;MF;Pisa;29-137;1997;34;32;2,832;31.5;1;1;2;1;0;0;8;0;0.03;0.03;0.06;0.03;0.06;Matches
7;Honest Ahanor;it ITA;DF;Atalanta;18-089;2008;22;15;1,377;15.3;0;0;0;0;0;0;2;1;0.00;0.00;0.00;0.00;0.00;Matches
8;Junior Ajayi;ci CIV;FW;Hellas Verona;21-224;2004;1;0;1;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
9;Manuel Akanji;ch SUI;DF;Inter;30-308;1995;33;31;2,821;31.3;2;0;2;2;0;0;4;0;0.06;0.00;0.06;0.06;0.06;Matches
10;Ebenezer Akinsanmiro;ng NGA;MF;Pisa;21-179;2004;23;15;1,399;15.5;0;1;1;0;0;0;2;0;0.00;0.06;0.06;0.00;0.06;Matches
11;Jean-Daniel Akpa-Akpro;ci CIV;MF;Hellas Verona;33-224;1992;21;16;1,414;15.7;1;0;1;1;0;0;9;0;0.06;0.00;0.06;0.06;0.06;Matches
12;Al-Musrati;ly LBY;MF;Hellas Verona;30-047;1996;17;8;811;9.0;0;1;1;0;0;0;6;1;0.00;0.11;0.11;0.00;0.11;Matches
13;Agustín Albarracín;uy URU;FW;Cagliari;20-267;2005;2;0;33;0.4;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
14;Raúl Albiol;es ESP;DF;Pisa;40-261;1985;8;5;500;5.6;0;1;1;0;0;0;1;0;0.00;0.18;0.18;0.00;0.18;Matches
15;Pontus Almqvist;se SWE;MF;Parma;26-317;1999;12;4;438;4.9;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
16;Giuseppe Ambrosino;it ITA;FW;Napoli;22-255;2003;3;0;38;0.4;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
17;Amorim;br BRA;MF;Genoa;21-005;2005;10;5;484;5.4;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
18;Nícolas Andrade;br BRA;GK;Pisa;38-041;1988;6;6;540;6.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
19;Angeliño;es ESP;MF;Roma;29-139;1997;7;5;416;4.6;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
20;Samuele Angori;it ITA;MF;Pisa;22-228;2003;34;29;2,509;27.9;0;2;2;0;0;0;2;0;0.00;0.07;0.07;0.00;0.07;Matches
21;Faustino Anjorin;eng ENG;MF;Torino;24-181;2001;15;1;289;3.2;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
22;Antonio Arena;it ITA;FW;Roma;17-102;2009;2;0;23;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
23;Juan Arizala;co COL;MF;Udinese;20-225;2005;10;1;191;2.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
24;Kristjan Asllani;al ALB;MF;Torino;24-075;2002;15;13;1,129;12.5;0;0;0;0;0;1;3;0;0.00;0.00;0.00;0.00;0.00;Matches
25;Zachary Athekame;ch SUI;MF,DF;Milan;21-161;2004;26;7;803;8.9;2;2;4;2;0;0;3;0;0.22;0.22;0.45;0.22;0.45;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
26;Arthur Atta;fr FRA;MF;Udinese;23-129;2003;31;28;2,467;27.4;5;3;8;5;0;0;3;0;0.18;0.11;0.29;0.18;0.29;Matches
27;Emil Audero;id IDN;GK;Cremonese;29-125;1997;33;33;2,970;33.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
28;Carlos Augusto;br BRA;MF,DF;Inter;27-136;1999;33;17;1,673;18.6;1;1;2;1;0;0;6;0;0.05;0.05;0.11;0.05;0.11;Matches
