Squad;# Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90
Atalanta;27;27.5;55.2;38;418;3,420;38.0;50;33;83;47;3;3;60;2;1.32;0.87;2.18;1.24;2.11
Bologna;30;27.3;55.5;37;407;3,330;37.0;45;30;75;40;5;7;67;6;1.22;0.81;2.03;1.08;1.89
Cagliari;31;25.6;45.4;37;407;3,330;37.0;38;30;68;36;2;2;79;2;1.03;0.81;1.84;0.97;1.78
Como;24;26.2;61.4;37;407;3,330;37.0;60;45;105;56;4;7;79;3;1.62;1.22;2.84;1.51;2.73
Cremonese;31;28.9;47.0;37;407;3,330;37.0;31;22;53;28;3;3;69;3;0.84;0.59;1.43;0.76;1.35
Fiorentina;34;27.6;51.1;38;418;3,420;38.0;40;23;63;34;6;6;82;3;1.05;0.61;1.66;0.89;1.50
Genoa;33;26.7;48.2;37;407;3,330;37.0;41;21;62;36;5;9;62;3;1.11;0.57;1.68;0.97;1.54
Hellas Verona;34;27.1;40.4;37;407;3,330;37.0;24;15;39;21;3;3;86;4;0.65;0.41;1.05;0.57;0.97
Inter;27;29.5;59.9;37;407;3,330;37.0;82;63;145;77;5;6;62;0;2.22;1.70;3.92;2.08;3.78
Juventus;27;26.7;57.6;37;407;3,330;37.0;57;39;96;55;2;5;50;2;1.54;1.05;2.59;1.49;2.54
Lazio;29;28.6;50.4;37;407;3,330;37.0;37;26;63;33;4;5;76;9;1.00;0.70;1.70;0.89;1.59
Lecce;30;26.3;42.0;37;407;3,330;37.0;27;19;46;26;1;2;67;2;0.73;0.51;1.24;0.70;1.22
Milan;26;28.1;51.9;37;407;3,330;37.0;52;36;88;45;7;9;62;3;1.41;0.97;2.38;1.22;2.19
Napoli;28;29.2;58.8;37;407;3,330;37.0;56;38;94;52;4;5;49;2;1.51;1.03;2.54;1.41;2.43
Parma;31;25.0;43.9;37;407;3,330;37.0;25;16;41;23;2;2;63;5;0.68;0.43;1.11;0.62;1.05
Pisa;34;27.9;39.9;37;407;3,330;37.0;24;12;36;18;6;7;77;5;0.65;0.32;0.97;0.49;0.81
Roma;29;27.1;56.1;37;407;3,330;37.0;57;39;96;52;5;6;67;3;1.54;1.05;2.59;1.41;2.46
Sassuolo;32;26.9;46.1;37;407;3,330;37.0;45;35;80;43;2;4;81;4;1.22;0.95;2.16;1.16;2.11
Torino;30;28.0;44.1;37;407;3,330;37.0;40;24;64;35;5;7;70;1;1.08;0.65;1.73;0.95;1.59
Udinese;30;27.3;46.0;37;407;3,330;37.0;44;30;74;39;5;5;68;1;1.19;0.81;2.00;1.05;1.86
